epoch,loss,reconstruction_loss,val_test_loss,val_test_reconstruction_loss
0,36.37633514404297,36.37633514404297,34.05477523803711,34.05477523803711
1,33.779449462890625,33.779449462890625,33.538822174072266,33.538822174072266
2,33.40959167480469,33.40959167480469,33.26141357421875,33.26141357421875
3,33.189430236816406,33.189430236816406,33.08392333984375,33.08392333984375
4,33.038330078125,33.038330078125,32.95794677734375,32.95794677734375
5,32.91527557373047,32.91527557373047,32.84922790527344,32.84922790527344
6,32.81330108642578,32.81330108642578,32.74613571166992,32.74613571166992
7,32.717769622802734,32.717769622802734,32.65827941894531,32.65827941894531
8,32.63079071044922,32.63079071044922,32.58404541015625,32.58404541015625
9,32.55322265625,32.55322265625,32.505271911621094,32.505271911621094
10,32.488616943359375,32.488616943359375,32.46350860595703,32.46350860595703
11,32.4295654296875,32.4295654296875,32.38949203491211,32.38949203491211
12,32.37800598144531,32.37800598144531,32.354000091552734,32.354000091552734
13,32.3311767578125,32.3311767578125,32.29579544067383,32.29579544067383
14,32.29096603393555,32.29096603393555,32.26136779785156,32.26136779785156
15,32.253318786621094,32.253318786621094,32.21483612060547,32.21483612060547
16,32.219635009765625,32.219635009765625,32.19169235229492,32.19169235229492
17,32.18805694580078,32.18805694580078,32.154502868652344,32.154502868652344
18,32.15922546386719,32.15922546386719,32.125606536865234,32.125606536865234
19,32.13548278808594,32.13548278808594,32.11430740356445,32.11430740356445
20,32.10903549194336,32.10903549194336,32.07883834838867,32.07883834838867
21,32.08506393432617,32.08506393432617,32.069122314453125,32.069122314453125
22,32.065277099609375,32.065277099609375,32.02397537231445,32.02397537231445
23,32.04611587524414,32.04611587524414,32.01755142211914,32.01755142211914
24,32.02400207519531,32.02400207519531,31.999876022338867,31.999876022338867
25,32.007503509521484,32.007503509521484,31.969480514526367,31.969480514526367
26,31.989606857299805,31.989606857299805,31.96999740600586,31.96999740600586
27,31.9724063873291,31.9724063873291,31.935131072998047,31.935131072998047
28,31.95591163635254,31.95591163635254,31.90980339050293,31.90980339050293
29,31.939868927001953,31.939868927001953,31.915618896484375,31.915618896484375
30,31.928558349609375,31.928558349609375,31.886507034301758,31.886507034301758
31,31.911088943481445,31.911088943481445,31.870609283447266,31.870609283447266
32,31.900121688842773,31.900121688842773,31.871299743652344,31.871299743652344
33,31.887392044067383,31.887392044067383,31.85933494567871,31.85933494567871
34,31.874530792236328,31.874530792236328,31.837244033813477,31.837244033813477
35,31.865171432495117,31.865171432495117,31.840707778930664,31.840707778930664
36,31.853017807006836,31.853017807006836,31.834720611572266,31.834720611572266
37,31.844696044921875,31.844696044921875,31.825044631958008,31.825044631958008
38,31.834367752075195,31.834367752075195,31.794706344604492,31.794706344604492
39,31.822341918945312,31.822341918945312,31.79476547241211,31.79476547241211
40,31.81365203857422,31.81365203857422,31.79060935974121,31.79060935974121
0,35.643009185791016,35.643009185791016,33.452125549316406,33.452125549316406
1,33.09040069580078,33.09040069580078,32.823570251464844,32.823570251464844
2,32.63590621948242,32.63590621948242,32.40806579589844,32.40806579589844
3,32.28302764892578,32.28302764892578,32.104087829589844,32.104087829589844
4,32.050350189208984,32.050350189208984,31.909862518310547,31.909862518310547
5,31.89424705505371,31.89424705505371,31.769899368286133,31.769899368286133
